id,filtered_words,features,label_indexed
F202,"[cell, hotel, hand, agent, player, explain., thousand, street, wall, unit, training, door., —, shocking, claims, hoax, surface, internet.]","(262144,[3665,35623,38308,38426,40872,43583,46498,70292,76162,91031,101641,118005,122289,198400,210238,232367,233148,237834],[0.6871770135734415,0.691153161953081,3.7316994512968646,0.691153161953081,3.8187108282864943,3.577548771469606,4.019381523748645,3.7316994512968646,0.691153161953081,3.914021008090819,2.60568818844064,5.523458920524919,4.42484663185681,0.691153161953081,3.8187108282864943,4.019381523748645,4.42484663185681,4.42484663185681])",0.0
F197,"[course, personal, offer, concern, focus., —, shocking, claims, secret, cure, surface, internet.]","(262144,[3665,35623,38426,63984,67662,76162,92891,115587,198400,220468,222688,250372],[0.6871770135734415,0.691153161953081,0.691153161953081,5.117993812416755,4.137164559405029,0.691153161953081,2.5530444549552183,3.8187108282864943,0.691153161953081,4.42484663185681,4.830311739964974,2.5530444549552183])",0.0
R128,"[become, summer, series, page, subject, huge., experts, discuss, ongoing, developments, climate, change.]","(262144,[19263,21570,26057,36319,72462,73499,110427,167401,177466,185509,192742,196975],[4.42484663185681,4.42484663185681,5.523458920524919,4.270695952029551,0.6871770135734415,2.7508701982851385,4.019381523748645,4.270695952029551,0.691153161953081,2.849310271098391,0.6832166123573445,0.691153161953081])",1.0
F157,"[first, wear, man, animal, risk, office., —, shocking, claims, government, cover-up, surface, internet.]","(262144,[3665,35623,38426,56627,76162,109753,132517,134741,179093,188835,192394,198400,223600],[0.6871770135734415,0.691153161953081,0.691153161953081,2.8844015909096608,0.691153161953081,4.42484663185681,2.997730276216664,4.42484663185681,5.117993812416755,4.607168188650764,4.137164559405029,0.691153161953081,4.137164559405029])",0.0
F117,"[feel, prevent, happen, bit, spring., build, lead, strategy, field., —, shocking, claims, hoax, surface, internet.]","(262144,[3665,35623,38426,61899,62070,76162,76796,101641,129828,134992,137765,142931,185228,195295,198400],[0.6871770135734415,0.691153161953081,0.691153161953081,4.019381523748645,4.830311739964974,0.691153161953081,5.523458920524919,2.60568818844064,4.137164559405029,4.270695952029551,4.270695952029551,4.137164559405029,3.8187108282864943,5.117993812416755,0.691153161953081])",0.0
F173,"[wish, seat, similar, change, yard, box, believe, situation., hospital, water, be., tend, third, people, side., —, shocking, claims, secret, cure, surface, internet.]","(262144,[3665,20719,22370,25615,29526,35623,36456,38426,40557,67117,72018,76162,92891,120418,124884,168211,185559,198400,221058,223059,225157,250372],[0.6871770135734415,3.914021008090819,4.270695952029551,4.137164559405029,4.42484663185681,0.691153161953081,4.019381523748645,0.691153161953081,5.523458920524919,4.137164559405029,5.117993812416755,0.691153161953081,2.5530444549552183,4.42484663185681,5.117993812416755,4.137164559405029,3.8187108282864943,0.691153161953081,4.607168188650764,3.8187108282864943,4.270695952029551,2.5530444549552183])",0.0
F024,"[call, assume, city, buy, law, executive., —, shocking, claims, aliens, surface, internet.]","(262144,[3665,35623,38426,76162,87595,109706,132255,178266,181736,198400,213760,229543],[0.6871770135734415,0.691153161953081,0.691153161953081,0.691153161953081,3.8187108282864943,4.42484663185681,5.523458920524919,2.958509563063383,3.914021008090819,0.691153161953081,3.914021008090819,4.42484663185681])",0.0
F096,"[newspaper, clearly, hard., team, environmental, cover, republican, law, student., today, full, improve, order, upon, name, finish., —, shocking, claims, celebrity, scandal, surface, internet.]","(262144,[3665,19371,25838,35119,35623,38426,64238,76162,82309,87595,98586,134392,151393,155288,181561,185928,191624,198400,208838,210331,235700,258431,258526],[0.6871770135734415,4.137164559405029,2.849310271098391,4.270695952029551,0.691153161953081,0.691153161953081,4.607168188650764,0.691153161953081,5.523458920524919,3.8187108282864943,4.019381523748645,4.137164559405029,4.607168188650764,4.607168188650764,2.849310271098391,4.270695952029551,4.270695952029551,0.691153161953081,3.5085558999826545,4.830311739964974,4.607168188650764,4.137164559405029,4.019381523748645])",0.0
R247,"[window, yeah., six, behind, analysis., experts, discuss, ongoing, developments, public, health.]","(262144,[25462,25491,30539,68538,72462,100985,174506,177466,192742,195253,196975],[5.117993812416755,4.137164559405029,3.125563647726549,4.019381523748645,0.6871770135734415,4.607168188650764,3.0385522707369192,0.691153161953081,0.6832166123573445,5.523458920524919,0.691153161953081])",1.0
F226,"[audience, see, development, yes, sell, morning, hope, coach., community, north, reflect, course., change, marriage, movie., —, shocking, claims, government, cover-up, surface, internet.]","(262144,[3665,8538,24119,34366,35623,38426,51218,56627,61657,76162,123445,128160,131672,132517,138036,188235,191591,198400,212560,217827,223059,236565],[0.6871770135734415,4.270695952029551,5.117993812416755,4.42484663185681,0.691153161953081,0.691153161953081,4.607168188650764,2.8844015909096608,4.607168188650764,0.691153161953081,3.914021008090819,4.42484663185681,4.137164559405029,2.997730276216664,4.607168188650764,4.42484663185681,4.830311739964974,0.691153161953081,4.137164559405029,4.830311739964974,3.8187108282864943,4.270695952029551])",0.0
F100,"[sister, election, go, company, congress, this., everyone, age, region, former, develop., couple, speak, respond, establish., scene, third, financial, agency, party., —, shocking, claims, flat, earth, surface, internet.]","(262144,[3665,3775,8985,35623,37101,37542,38426,56163,62400,75249,76162,92726,106445,108795,115996,131519,147164,147703,148675,149982,156804,168211,198400,217316,227256,230087,248932],[0.6871770135734415,4.137164559405029,5.117993812416755,0.691153161953081,4.270695952029551,3.0385522707369192,0.691153161953081,4.830311739964974,4.137164559405029,4.607168188650764,0.691153161953081,4.607168188650764,4.137164559405029,5.117993812416755,3.0385522707369192,3.8187108282864943,4.019381523748645,4.137164559405029,4.137164559405029,4.42484663185681,4.019381523748645,4.137164559405029,0.691153161953081,4.137164559405029,4.019381523748645,4.830311739964974,4.270695952029551])",0.0
F246,"[size, bank, imagine, challenge, far, fall., conference, interest, next, how., —, shocking, claims, government, cover-up, surface, internet.]","(262144,[3665,22373,31839,35623,38426,54961,56627,68649,76162,132517,139030,146390,162421,165678,191864,195680,198400],[0.6871770135734415,4.019381523748645,3.914021008090819,0.691153161953081,0.691153161953081,4.019381523748645,2.8844015909096608,4.42484663185681,0.691153161953081,2.997730276216664,4.019381523748645,4.830311739964974,5.117993812416755,3.914021008090819,4.42484663185681,4.830311739964974,0.691153161953081])",0.0
F183,"[contain, soon, ball., color, course, ahead, customer, level., —, shocking, claims, aliens, surface, internet.]","(262144,[3665,35623,38426,63420,76162,82597,142373,143057,178266,192648,198400,211457,220468,235691],[0.6871770135734415,0.691153161953081,0.691153161953081,4.270695952029551,0.691153161953081,4.137164559405029,4.42484663185681,4.019381523748645,2.958509563063383,4.607168188650764,0.691153161953081,5.117993812416755,4.42484663185681,4.607168188650764])",0.0
R063,"[draw, yet, none, training., threat, boy, century, question., experts, discuss, ongoing, developments, policy.]","(262144,[69949,72462,97815,110743,122832,158421,177466,192742,196975,219622,221223,236668,237377],[4.137164559405029,0.6871770135734415,5.523458920524919,5.117993812416755,2.8154087194227095,4.270695952029551,0.691153161953081,0.6832166123573445,0.691153161953081,4.42484663185681,4.137164559405029,5.117993812416755,4.137164559405029])",1.0
R005,"[several, local, money., experts, discuss, ongoing, developments, election.]","(262144,[10617,41348,72462,139371,177466,192742,196975,198836],[4.42484663185681,2.7508701982851385,0.6871770135734415,3.6516567436233283,0.691153161953081,0.6832166123573445,0.691153161953081,4.019381523748645])",1.0
R084,"[tax, newspaper, whole, understand, majority, effect, wait., dark, movement, dinner, perhaps., local, yard, news, poor., experts, discuss, ongoing, developments, election.]","(262144,[31924,36456,41348,49185,72462,80707,89777,104735,131685,131742,150992,177466,184523,192742,196975,198836,208838,225159,229305,250556],[4.830311739964974,4.019381523748645,2.7508701982851385,4.137164559405029,0.6871770135734415,4.137164559405029,4.830311739964974,5.117993812416755,4.830311739964974,4.42484663185681,3.914021008090819,0.691153161953081,4.137164559405029,0.6832166123573445,0.691153161953081,4.019381523748645,3.5085558999826545,4.270695952029551,4.42484663185681,4.137164559405029])",1.0
R124,"[policy, support, necessary, reduce, region, surface., pay, close, somebody, likely, trip., pressure, share, author, successful, assume, month., experts, discuss, ongoing, developments, education.]","(262144,[3775,16293,53915,64859,67483,72462,87885,141609,152065,159409,163449,166319,177466,177817,181736,192742,196975,199991,207150,210569,239713,248630],[4.137164559405029,4.137164559405029,4.270695952029551,4.019381523748645,4.830311739964974,0.6871770135734415,4.019381523748645,5.523458920524919,4.019381523748645,5.523458920524919,3.914021008090819,4.019381523748645,0.691153161953081,4.019381523748645,3.914021008090819,0.6832166123573445,0.691153161953081,2.6330871626287546,3.8187108282864943,5.117993812416755,3.914021008090819,4.270695952029551])",1.0
R118,"[social, study, pass, recognize., indeed, sell, car, beyond, world, however., experts, discuss, ongoing, developments, research.]","(262144,[60080,61757,71578,71895,72176,72462,93722,123445,128117,143990,177466,184280,192742,196975,221812],[3.6516567436233283,5.117993812416755,4.019381523748645,4.42484663185681,4.137164559405029,0.6871770135734415,2.8844015909096608,3.914021008090819,5.523458920524919,4.42484663185681,0.691153161953081,4.607168188650764,0.6832166123573445,0.691153161953081,3.6516567436233283])",1.0
F001,"[situation, real, guy, new, training., —, shocking, claims, aliens, surface, internet.]","(262144,[3665,35623,38426,76162,89833,157856,161102,174475,178266,198400,236668],[0.6871770135734415,0.691153161953081,0.691153161953081,0.691153161953081,3.8187108282864943,3.7316994512968646,4.019381523748645,3.8187108282864943,2.958509563063383,0.691153161953081,5.117993812416755])",0.0
F007,"[range, note, middle, sure., list, life, defense, large, protect., —, shocking, claims, immortal, jellyfish, surface, internet.]","(262144,[3665,7589,14376,21894,35623,38426,43157,52306,76162,100919,159733,165845,166372,172517,198400,220270],[0.6871770135734415,4.830311739964974,4.019381523748645,3.7316994512968646,0.691153161953081,0.691153161953081,4.019381523748645,2.7508701982851385,0.691153161953081,3.914021008090819,4.607168188650764,4.830311739964974,2.7508701982851385,4.270695952029551,0.691153161953081,4.270695952029551])",0.0
F046,"[seven, bed, feel, approach, floor, focus, city, back., rate, reveal, interesting, well, memory, large, where., —, shocking, claims, mind, control, surface, internet.]","(262144,[3665,10077,15867,21641,35623,38202,38426,61899,68685,76162,123343,127310,165688,170688,172099,186925,192490,198400,201479,220270,229543,234706],[0.6871770135734415,4.270695952029551,4.42484663185681,4.607168188650764,0.691153161953081,4.019381523748645,0.691153161953081,4.019381523748645,4.42484663185681,0.691153161953081,4.137164559405029,4.607168188650764,2.8154087194227095,2.920769235080536,4.019381523748645,4.42484663185681,5.117993812416755,0.691153161953081,4.137164559405029,4.270695952029551,4.42484663185681,4.137164559405029])",0.0
R103,"[factor, culture, act, safe, foreign, share., nature, support, wide., american, seven, property, increase, well, because., experts, discuss, ongoing, developments, research.]","(262144,[11018,38202,47819,72462,80840,93722,120397,138836,155001,177466,177817,186925,188705,192742,196975,203193,218192,224635,232869,261070],[4.42484663185681,4.019381523748645,3.914021008090819,0.6871770135734415,5.117993812416755,2.8844015909096608,4.607168188650764,3.914021008090819,4.830311739964974,0.691153161953081,4.019381523748645,4.42484663185681,5.523458920524919,0.6832166123573445,0.691153161953081,4.270695952029551,4.019381523748645,4.137164559405029,4.019381523748645,4.607168188650764])",1.0
R037,"[kind, task, effort, benefit, well., nature, forget, beautiful, mother, argue, someone., item, police, visit, hard, free., experts, discuss, ongoing, developments, budget, report.]","(262144,[2437,5537,21534,30600,39683,72462,73018,79132,119943,161106,169153,177466,192742,195055,196975,206426,208549,210212,224635,245420,245426,259145],[4.137164559405029,5.117993812416755,4.42484663185681,2.661258039595451,4.830311739964974,0.6871770135734415,4.270695952029551,4.019381523748645,4.830311739964974,4.137164559405029,5.523458920524919,0.691153161953081,0.6832166123573445,2.5530444549552183,0.691153161953081,4.019381523748645,3.7316994512968646,4.607168188650764,4.137164559405029,4.137164559405029,3.914021008090819,4.137164559405029])",1.0
F193,"[paper, administration, direction, perhaps, gun., science, put, far, fine., morning, name, executive, wife, style, past., —, shocking, claims, secret, cure, surface, internet.]","(262144,[3665,35119,35623,38426,54001,76162,77751,90683,92891,105244,119214,127186,131672,134304,157506,165678,167466,190787,198400,201517,238500,250372],[0.6871770135734415,4.270695952029551,0.691153161953081,0.691153161953081,4.270695952029551,0.691153161953081,4.42484663185681,4.270695952029551,2.5530444549552183,5.117993812416755,4.270695952029551,5.117993812416755,4.137164559405029,4.270695952029551,4.42484663185681,3.914021008090819,4.830311739964974,4.137164559405029,0.691153161953081,4.137164559405029,4.830311739964974,2.5530444549552183])",0.0
R166,"[particularly, provide, know, others, door., experts, discuss, ongoing, developments, election.]","(262144,[41348,72462,122289,140931,177466,188011,192742,196975,236924,260874],[2.7508701982851385,0.6871770135734415,4.42484663185681,4.830311739964974,0.691153161953081,4.270695952029551,0.6832166123573445,0.691153161953081,4.42484663185681,4.137164559405029])",1.0
F017,"[son, ago, five, child, senior, glass., exactly, want, pretty, another, partner, picture, goal., —, shocking, claims, immortal, jellyfish, surface, internet.]","(262144,[3665,12710,23071,35623,37447,38426,43204,51832,52306,74096,76162,105729,156216,159884,166372,190256,198400,227040,235217,253382],[0.6871770135734415,4.42484663185681,4.137164559405029,0.691153161953081,5.523458920524919,0.691153161953081,4.42484663185681,4.42484663185681,2.7508701982851385,4.42484663185681,0.691153161953081,4.137164559405029,4.830311739964974,4.42484663185681,2.7508701982851385,4.607168188650764,0.691153161953081,4.607168188650764,4.42484663185681,4.42484663185681])",0.0
R008,"[main, office, serve, chance., experts, discuss, ongoing, developments, economic, growth.]","(262144,[9781,11949,67288,72462,90058,97416,133880,177466,192742,196975],[4.019381523748645,4.137164559405029,2.7200985396183848,0.6871770135734415,2.920769235080536,5.117993812416755,4.830311739964974,0.691153161953081,0.6832166123573445,0.691153161953081])",1.0
F071,"[economic, step, war, technology, suggest, particularly, weight., report, yard, of., —, shocking, claims, celebrity, scandal, surface, internet.]","(262144,[3665,25838,35623,36456,38426,39639,56956,62790,67288,73241,76162,101248,102360,181561,188011,198400,243983],[0.6871770135734415,2.849310271098391,0.691153161953081,4.019381523748645,0.691153161953081,5.523458920524919,2.579019941358479,4.270695952029551,2.7200985396183848,4.270695952029551,0.691153161953081,5.117993812416755,4.270695952029551,2.849310271098391,4.270695952029551,0.691153161953081,4.270695952029551])",0.0
F028,"[statement, fill, friend, allow, surface, child., situation, quite, recognize, sit., —, shocking, claims, mind, control, surface, internet.]","(262144,[3665,21161,35623,38426,70152,73199,74520,76162,157856,165688,170688,173483,189827,198400,202855,238314],[1.374354027146883,4.019381523748645,0.691153161953081,0.691153161953081,4.137164559405029,3.914021008090819,4.137164559405029,0.691153161953081,3.7316994512968646,2.8154087194227095,2.920769235080536,4.137164559405029,4.42484663185681,0.691153161953081,5.117993812416755,4.830311739964974])",0.0
F227,"[specific, beat, building, know, offer, necessary, ago., —, shocking, claims, immortal, jellyfish, surface, internet.]","(262144,[3665,35623,38426,52306,53915,62427,67662,76162,90428,140931,166372,181001,198400,234963],[0.6871770135734415,0.691153161953081,0.691153161953081,2.7508701982851385,4.270695952029551,4.607168188650764,4.137164559405029,0.691153161953081,4.270695952029551,4.830311739964974,2.7508701982851385,4.137164559405029,0.691153161953081,4.830311739964974])",0.0
R200,"[situation, reach, participant, poor, by., night, issue, still., experts, discuss, ongoing, developments, public, health.]","(262144,[30539,72462,84644,85735,112865,139106,157856,174506,177466,184572,189957,192742,196975,251464],[3.125563647726549,0.6871770135734415,4.137164559405029,4.137164559405029,5.117993812416755,4.137164559405029,3.7316994512968646,3.0385522707369192,0.691153161953081,5.117993812416755,4.270695952029551,0.6832166123573445,0.691153161953081,4.830311739964974])",1.0
R225,"[feel, house, citizen, admit, fill, civil, finish., else, think, front, ten, success, tough., coach, water, change, back., experts, discuss, ongoing, developments, climate, change.]","(262144,[61899,62620,67117,67562,72462,73199,73499,73914,127310,132465,153423,153917,155288,161194,177466,185509,186264,192742,196975,211756,218360,223059,261172],[4.019381523748645,4.607168188650764,4.137164559405029,4.137164559405029,0.6871770135734415,3.914021008090819,2.7508701982851385,4.42484663185681,4.607168188650764,4.607168188650764,5.117993812416755,4.607168188650764,4.607168188650764,4.137164559405029,0.691153161953081,2.849310271098391,4.270695952029551,0.6832166123573445,0.691153161953081,4.019381523748645,3.7316994512968646,3.8187108282864943,4.137164559405029])",1.0
R062,"[debate, design., beyond, happen, product, low, nature., real, hope, add, many, professional, receive, suddenly., pick, career, book, whose, end, behavior, lawyer, heart., experts, discuss, ongoing, developments, budget, report.]","(262144,[30600,48063,52879,72462,85085,100466,104220,128160,134992,153652,156917,160329,161418,174475,177466,184251,189113,192742,195055,196975,221812,223827,224883,228449,235803,245044,253913,258463],[2.661258039595451,4.607168188650764,4.270695952029551,0.6871770135734415,3.6516567436233283,4.137164559405029,3.8187108282864943,4.42484663185681,4.270695952029551,3.914021008090819,4.42484663185681,4.830311739964974,4.830311739964974,3.8187108282864943,0.691153161953081,4.270695952029551,4.270695952029551,0.6832166123573445,2.5530444549552183,0.691153161953081,3.6516567436233283,4.019381523748645,5.117993812416755,5.523458920524919,4.137164559405029,3.914021008090819,3.914021008090819,4.607168188650764])",1.0
F033,"[newspaper, hot, ready, wish, develop, return., draw, use, water, if., choice, carry., —, shocking, claims, hoax, surface, internet.]","(262144,[3665,20719,35623,38426,47197,59317,67117,76162,77196,98717,101641,125177,198400,208838,219709,221223,222771,248361],[0.6871770135734415,3.914021008090819,0.691153161953081,0.691153161953081,4.137164559405029,4.019381523748645,4.137164559405029,0.691153161953081,5.523458920524919,4.137164559405029,2.60568818844064,4.42484663185681,0.691153161953081,3.5085558999826545,3.914021008090819,4.137164559405029,4.830311739964974,4.830311739964974])",0.0
F012,"[table, feeling., painting, significant, american, son, unit, affect., religious, bill, right, painting, reach, hotel., —, shocking, claims, hoax, surface, internet.]","(262144,[3665,17128,21820,35623,38426,43583,57226,58839,76162,94043,101641,105729,114395,138836,139106,177265,198400,229166,242661],[0.6871770135734415,4.607168188650764,5.523458920524919,0.691153161953081,0.691153161953081,3.577548771469606,8.84969326371362,3.7316994512968646,0.691153161953081,4.607168188650764,2.60568818844064,4.137164559405029,4.137164559405029,3.914021008090819,4.137164559405029,4.607168188650764,0.691153161953081,4.019381523748645,4.270695952029551])",0.0
R121,"[find, role, change, money., actually, arrive, sell, middle, wish, community., source, establish., experts, discuss, ongoing, developments, research.]","(262144,[10617,20719,21894,23273,72462,91878,93722,108726,108795,123445,132975,177466,192742,196975,216975,218239,223059],[4.42484663185681,3.914021008090819,3.7316994512968646,5.117993812416755,0.6871770135734415,4.019381523748645,2.8844015909096608,4.019381523748645,5.117993812416755,3.914021008090819,3.914021008090819,0.691153161953081,0.6832166123573445,0.691153161953081,4.137164559405029,5.117993812416755,3.8187108282864943])",1.0
F210,"[include, short, laugh, fire, future, example, state., statement, look, process, word, line, beat, station., —, shocking, claims, aliens, surface, internet.]","(262144,[3665,21161,24031,32970,35623,38426,75750,76162,81662,91649,91799,97914,110078,138905,178266,181001,198400,223763,248200,252968],[0.6871770135734415,4.019381523748645,4.270695952029551,5.523458920524919,0.691153161953081,0.691153161953081,4.137164559405029,0.691153161953081,4.019381523748645,5.117993812416755,4.607168188650764,3.8187108282864943,4.42484663185681,4.019381523748645,2.958509563063383,4.137164559405029,0.691153161953081,4.42484663185681,3.7316994512968646,4.019381523748645])",0.0
