id,filtered_words,label_indexed,prediction
F145,"[science, much, manage., near, recognize, push, service, memory, research, language., —, shocking, claims, miracle, drug, surface, internet.]",0.0,0.0
F146,"[artist, audience, possible, several, marriage, bank, particular, indeed., choice, serve, support, night, especially, detail., begin, audience, heavy, quickly., —, shocking, claims, mind, control, surface, internet.]",0.0,0.0
F148,"[point, color, assume, close., half, choose., believe, adult., —, shocking, claims, aliens, surface, internet.]",0.0,0.0
F154,"[benefit, american, agent, nothing, dinner, whole., —, shocking, claims, immortal, jellyfish, surface, internet.]",0.0,0.0
F166,"[life, realize, operation, may, around., business, better, animal., field, next, several, draw, smile, animal., —, shocking, claims, mind, control, surface, internet.]",0.0,0.0
F171,"[environment, whatever, pattern, service, industry, detail., write, learn, executive, green, condition, necessary., safe, need, positive, describe, trial., —, shocking, claims, government, cover-up, surface, internet.]",0.0,0.0
F172,"[box, total, wait, guy., admit, professor, receive, word, long, husband, daughter, ball., two, alone, realize., —, shocking, claims, hoax, surface, internet.]",0.0,0.0
F176,"[development, lay, particularly, price., community, traditional, decade., kitchen, long, author., —, shocking, claims, miracle, drug, surface, internet.]",0.0,0.0
F178,"[stand, policy, leader, art., woman, recent, trouble, clear., street, read, finish, pretty, pressure, break., recent, recently, near, three, receive, strong., —, shocking, claims, immortal, jellyfish, surface, internet.]",0.0,0.0
F192,"[media, coach, feeling, benefit, network, world, at., everybody, data, administration, project, benefit, together., several, each., crime, month, member., —, shocking, claims, government, cover-up, surface, internet.]",0.0,0.0
F196,"[pass, wonder, seat., every, economic, start., —, shocking, claims, government, cover-up, surface, internet.]",0.0,0.0
F207,"[book, nature, democratic, exist, guess, study., argue, test, program., —, shocking, claims, government, cover-up, surface, internet.]",0.0,0.0
F213,"[different, author, lawyer, clearly, thank, account, process., speech, effort, purpose, rest, option, edge, mention., within, wind, test, three., forward, around, author, class, note., —, shocking, claims, hoax, surface, internet.]",0.0,0.0
F217,"[purpose, five, music, back., attorney, economy, american, vote., eat, company, meet, course., —, shocking, claims, immortal, jellyfish, surface, internet.]",0.0,0.0
F218,"[southern, ask, goal, collection., magazine, set, fact, will., piece, traditional, thousand, measure, my., —, shocking, claims, government, cover-up, surface, internet.]",0.0,0.0
F222,"[cup, sing, shoulder, answer, left, area, later, know., story, physical, sign, southern, position., onto, claim, recent, most., —, shocking, claims, mind, control, surface, internet.]",0.0,0.0
F245,"[operation., nice, note, nation., foot, might, attack, deal, baby, not., —, shocking, claims, mind, control, surface, internet.]",0.0,0.0
R006,"[travel, father, unit, important, forward, themselves., home, necessary, wide, five, good., experts, discuss, ongoing, developments, technology, breakthrough.]",1.0,1.0
R012,"[step, chair, product, high, to., hope, high, century, computer., experts, discuss, ongoing, developments, technology, breakthrough.]",1.0,1.0
R019,"[soon, quite, air, table, girl, tonight., expect, nothing, official, generation, yeah., experts, discuss, ongoing, developments, policy.]",1.0,1.0
R023,"[security, national, walk, mention, central, third, blue., training, television, man., experts, discuss, ongoing, developments, policy.]",1.0,1.0
R029,"[performance, newspaper, laugh, always, bar, consider., mention, painting, article, thank, work, interest., experts, discuss, ongoing, developments, economic, growth.]",1.0,1.0
R042,"[book, scientist, among, experience, black., difference, price, impact, red, responsibility, speech, action, us., really, billion, tonight, responsibility., experts, discuss, ongoing, developments, public, health.]",1.0,1.0
R044,"[peace, left, peace, house, authority, after., experts, discuss, ongoing, developments, policy.]",1.0,1.0
R056,"[war, evidence, my., experts, discuss, ongoing, developments, public, health.]",1.0,1.0
R057,"[wear, specific, run, lead, ground., board, strong, north, free., experts, discuss, ongoing, developments, technology, breakthrough.]",1.0,1.0
R059,"[song, beat, side, middle, hour., drive, wife, power, somebody, company, door., talk, next, compare., experts, discuss, ongoing, developments, technology, breakthrough.]",1.0,1.0
R061,"[must, organization, similar, heart, well., director, floor, mr, director., upon, enjoy, hit, seven, approach, bring., experts, discuss, ongoing, developments, technology, breakthrough.]",1.0,1.0
R067,"[note, line, authority, eat, tonight., author, probably, miss, watch, eye., experts, discuss, ongoing, developments, policy.]",1.0,1.0
R073,"[yeah, born, hear, face., blue, fall, win, room, kid, dream., start, future, front., experts, discuss, ongoing, developments, economic, growth.]",1.0,1.0
R076,"[teach, meet, clear, table, far., mean, inside, former, hand, expert, side, probably, girl., experts, discuss, ongoing, developments, technology, breakthrough.]",1.0,1.0
R078,"[everyone, put, idea, cultural, leader, maintain, foreign, reduce., enter, arrive, language, high, parent, without., child, thank, task, collection, write., experts, discuss, ongoing, developments, budget, report.]",1.0,1.0
R081,"[late, imagine, say., like, return, like, lawyer, color., experts, discuss, ongoing, developments, climate, change.]",1.0,1.0
R089,"[next, indeed, travel, process., mention, break, product, this., experts, discuss, ongoing, developments, public, health.]",1.0,1.0
R091,"[half, draw, new, report., front, sell, practice, cold., experts, discuss, ongoing, developments, climate, change.]",1.0,1.0
R096,"[standard, natural, author, party, dog, design, structure., interest, practice, pressure, doctor, point, food, choose., experts, discuss, ongoing, developments, research.]",1.0,1.0
R098,"[second, receive, follow, short, run., religious, red, decade, scene, she., experts, discuss, ongoing, developments, election.]",1.0,1.0
R099,"[act, order, real, product, second, base., must, wait, early, wait., crime, whole, better, society, laugh, apply., experts, discuss, ongoing, developments, economic, growth.]",1.0,1.0
R100,"[control, return, part, assume, clearly, bad, over., face, consider, line., pm, customer, identify, whether, possible., experts, discuss, ongoing, developments, technology, breakthrough.]",1.0,1.0
R101,"[subject, stand, one, wife, work, less., environment, hotel, eye, international, management., experts, discuss, ongoing, developments, research.]",1.0,1.0
R103,"[factor, culture, act, safe, foreign, share., nature, support, wide., american, seven, property, increase, well, because., experts, discuss, ongoing, developments, research.]",1.0,1.0
R104,"[involve, soon, popular., exactly, plant, hot, data, it., instead, artist, image, process, tonight, condition, prevent., experts, discuss, ongoing, developments, election.]",1.0,1.0
R108,"[seat, camera, media, world, eat, region, road., list, per, eat, expect, million, suddenly., experts, discuss, ongoing, developments, economic, growth.]",1.0,1.0
R116,"[thing, firm, age, reduce, wife., majority, friend, continue, party, easy, take., fast, state, member, magazine, rate, yes., experts, discuss, ongoing, developments, education.]",1.0,1.0
R118,"[social, study, pass, recognize., indeed, sell, car, beyond, world, however., experts, discuss, ongoing, developments, research.]",1.0,1.0
R119,"[child, mr., general, gas, minute, already, cause., instead, continue, goal, discover., experts, discuss, ongoing, developments, climate, change.]",1.0,1.0
R120,"[deep, benefit, small, popular, argue, discuss., employee, dark, site, eight, food., experts, discuss, ongoing, developments, election.]",1.0,1.0
R122,"[write, machine, wonder, miss., green, born, drive, south, year, prepare, use., yard, thousand, member, military, statement, air., experts, discuss, ongoing, developments, economic, growth.]",1.0,1.0
R124,"[policy, support, necessary, reduce, region, surface., pay, close, somebody, likely, trip., pressure, share, author, successful, assume, month., experts, discuss, ongoing, developments, education.]",1.0,1.0
R127,"[yard, present, change, animal., wall, perhaps, trial., experts, discuss, ongoing, developments, policy.]",1.0,1.0
R129,"[base, actually, late, fly, always, plan, test., lead, significant, guess., many, picture, time, game., experts, discuss, ongoing, developments, election.]",1.0,1.0
R131,"[ahead, possible, certain, note., view, alone, congress, western, hard, nearly., particular, town, cause, ready., experts, discuss, ongoing, developments, education.]",1.0,1.0
R132,"[enough, side, allow, listen, phone, keep., experts, discuss, ongoing, developments, education.]",1.0,1.0
R139,"[even, everything, first, ability, pay, over., baby, personal, human, cause, turn, most., score, strategy, pass, song, reflect., experts, discuss, ongoing, developments, education.]",1.0,1.0
R141,"[democratic, guess, level, something, drop., much, son, increase, participant, professor., yard, computer, military, official, write, finally, because., experts, discuss, ongoing, developments, economic, growth.]",1.0,1.0
R164,"[window, generation., natural, church, stage, become., summer, play, offer, whole, enough., experts, discuss, ongoing, developments, education.]",1.0,1.0
R167,"[term, response, second, sea, probably, world, apply., exactly, instead, place, people, republican, recently, age, most., entire, increase, serve, bill, agent, customer., experts, discuss, ongoing, developments, climate, change.]",1.0,1.0
R172,"[market, candidate, personal, give, prepare, try., kid, message, white, up., experts, discuss, ongoing, developments, economic, growth.]",1.0,1.0
R174,"[believe, beyond, power, include, today, someone, most., find, job, sea., experts, discuss, ongoing, developments, policy.]",1.0,1.0
R177,"[speech, fear, pretty, moment, crime, sea., organization, material, perhaps, start, official, within., experts, discuss, ongoing, developments, policy.]",1.0,1.0
R188,"[far, full, around, decision., six, cover, president, better, speak, expert, fine., experts, discuss, ongoing, developments, climate, change.]",1.0,1.0
R192,"[authority, appear, season, pm, attack., attack, threat, small, radio, security., candidate, speech, large, suggest, apply, play, reach, deal., experts, discuss, ongoing, developments, climate, change.]",1.0,1.0
R196,"[decide, street, deal, test., wrong, new, several, finally, hour, nearly, war., experts, discuss, ongoing, developments, budget, report.]",1.0,1.0
R203,"[blood, majority, sister, lay, ground, accept., wait, example, shoulder, left, perhaps, although, born., reflect, book, every, republican, south, door, teach., experts, discuss, ongoing, developments, education.]",1.0,1.0
R205,"[true, center, article, lawyer, morning, guy, smile, section., recently, always, assume., experts, discuss, ongoing, developments, public, health.]",1.0,1.0
R208,"[kind, year, start, happy, newspaper, outside., four, purpose, door, particular, contain, person., experts, discuss, ongoing, developments, budget, report.]",1.0,1.0
R226,"[skill, west, total, break., experts, discuss, ongoing, developments, public, health.]",1.0,1.0
R229,"[prove, unit, sign., thus, might, become, project, really, on., experts, discuss, ongoing, developments, research.]",1.0,1.0
R243,"[wide, recently, degree, sure., yet, order, pm, away, simple, according., modern, voice, cup, factor, sometimes, race, free., experts, discuss, ongoing, developments, public, health.]",1.0,1.0
R247,"[window, yeah., six, behind, analysis., experts, discuss, ongoing, developments, public, health.]",1.0,1.0
